category,year,development
C,1927,"The science-fiction film Metropolis is released. It features a robot double of a peasant girl, Maria, which unleashes chaos in Berlin of 2026—it was the first robot depicted on film, inspiring the Art Deco look of C-3PO in Star Wars."
T,1929,"Makoto Nishimura designs Gakutensoku, Japanese for ""learning from the laws of nature,"" the first robot built in Japan. It could change its facial expression and move its head and hands via an air pressure mechanism."
F,1931,"Kurt Gödel showed that sufficiently powerful formal systems, if consistent, permit the formulation of true theorems that are unprovable by any theorem-proving machine deriving all possible theorems from the axioms. To do this he had to build a universal, integer-based programming language, which is the reason why he is sometimes called the ""father of theoretical computer science""."
T,1941,Konrad Zuse built the first working program-controlled computers.
F,1943,"Warren Sturgis McCulloch and Walter Pitts publish ""A Logical Calculus of the Ideas Immanent in Nervous Activity"" (1943), laying foundations for artificial neural networks."
R,1943,"Arturo Rosenblueth, Norbert Wiener and Julian Bigelow coin the term ""cybernetics"". Wiener's popular book by that name published in 1948."
F,1943,"Warren S. McCulloch and Walter Pitts publish “A Logical Calculus of the Ideas Immanent in Nervous Activity” in the Bulletin of Mathematical Biophysics. This influential paper, in which they discussed networks of idealized and simplified artificial “neurons” and how they might perform simple logical functions, will become the inspiration for computer-based “neural networks” (and later “deep learning”) and their popular description as “mimicking the brain.”"
F,1945,"Game theory which would prove invaluable in the progress of AI was introduced with the 1944 paper, Theory of Games and Economic Behavior by mathematician John von Neumann and economist Oskar Morgenstern."
R,1945,"Vannevar Bush published As We May Think (The Atlantic Monthly, July 1945) a prescient vision of the future in which computers assist humans in many activities."
R,1948,"John von Neumann (quoted by E.T. Jaynes) in response to a comment at a lecture that it was impossible for a machine to think: ""You insist that there is something a machine cannot do. If you will tell me precisely what it is that a machine cannot do, then I can always make a machine which will do just that!"". Von Neumann was presumably alluding to the Church-Turing thesis which states that any effective procedure can be simulated by a (generalized) computer."
R,1949,"Edmund Berkeley publishes Giant Brains: Or Machines That Think in which he writes: “Recently there have been a good deal of news about strange giant machines that can handle information with vast speed and skill….These machines are similar to what a brain would be if it were made of hardware and wire instead of flesh and nerves… A machine can handle information; it can calculate, conclude, and choose; it can perform reasonable operations with information. A machine, therefore, can think.”"
R,1949,Donald Hebb publishes Organization of Behavior: A Neuropsychological Theoryin which he proposes a theory about learning based on conjectures regarding neural networks and the ability of synapses to strengthen or weaken over time.
R,1950,Claude Shannon’s “Programming a Computer for Playing Chess” is the first published article on developing a chess-playing computer program.
R,1950,Claude Shannon published a detailed analysis of chess playing as search.
R,1950,Isaac Asimov published his Three Laws of Robotics.
F,1950,Alan Turing publishes “Computing Machinery and Intelligence” in which he proposes “the imitation game” which will later become known as the “Turing Test.”
T,1951,"Marvin Minsky and Dean Edmunds build SNARC (Stochastic Neural Analog Reinforcement Calculator), the first artificial neural network, using 3000 vacuum tubes to simulate a network of 40 neurons."
T,1951,The first working AI programs were written in 1951 to run on the Ferranti Mark 1machine of the University of Manchester: a checkers-playing program written by Christopher Strachey and a chess-playing program written by Dietrich Prinz.
T,1951,Arthur Samuel develops the first computer checkers-playing program and the first computer program to learn on its own.
T,1955,"Herbert Simon and Allen Newell develop the Logic Theorist, the first artificial intelligence program, which eventually would prove 38 of the first 52 theorems in Whitehead and Russell's Principia Mathematica."
T,1955,"Arthur Samuel (IBM) wrote the first game-playing program,[30] for checkers (draughts), to achieve sufficient skill to challenge a respectable amateur. His first checkers-playing program was written in 1952, and in 1955 he created a version that learned to play.[31]"
R,1955,"The term “artificial intelligence” is coined in a proposal for a “2 month, 10 man study of artificial intelligence” submitted by John McCarthy (Dartmouth College), Marvin Minsky (Harvard University), Nathaniel Rochester (IBM), and Claude Shannon (Bell Telephone Laboratories). The workshop, which took place a year later, in July and August 1956, is generally considered as the official birthdate of the new field."
R,1956,"The Dartmouth College summer AI conference is organized by John McCarthy, Marvin Minsky, Nathan Rochester of IBM and Claude Shannon. McCarthy coins the term artificial intelligence for the conference."
T,1956,"The first demonstration of the Logic Theorist (LT) written by Allen Newell, J.C. Shawand Herbert A. Simon (Carnegie Institute of Technology, now Carnegie Mellon University or CMU). This is often called the first AI program, though Samuel's checkers program also has a strong claim."
T,1957,"The General Problem Solver (GPS) demonstrated by Newell, Shaw and Simon while at CMU."
F,1958,"Herbert Gelernter and Nathan Rochester (IBM) described a theorem prover in geometry that exploits a semantic model of the domain in the form of diagrams of ""typical"" cases."
R,1958,"Teddington Conference on the Mechanization of Thought Processes was held in the UK and among the papers presented were John McCarthy's Programs with Common Sense, Oliver Selfridge's Pandemonium, and Marvin Minsky's Some Methods of Heuristic Programming and Artificial Intelligence."
F,1958,John McCarthy develops programming language Lisp which becomes the most popular programming language used in artificial intelligence research.
F,1959,John McCarthy and Marvin Minsky founded the MIT AI Lab.
T,1959,Margaret Masterman and colleagues at University of Cambridge design semantic nets for machine translation.
R,1959,"Oliver Selfridge publishes “Pandemonium: A paradigm for learning” in the Proceedings of the Symposium on Mechanization of Thought Processes, in which he describes a model for a process by which computers could recognize patterns that have not been specified in advance."
R,1959,"John McCarthy publishes “Programs with Common Sense” in the Proceedings of the Symposium on Mechanization of Thought Processes, in which he describes the Advice Taker, a program for solving problems by manipulating sentences in formal languages with the ultimate objective of making programs “that learn from their experience as effectively as humans do.”"
R,1959,"Arthur Samuel coins the term “machine learning,” reporting on programming a computer “so that it will learn to play a better game of checkers than can be played by the person who wrote the program.”"
F,1960,"Ray Solomonoff lays the foundations of a mathematical theory of AI, introducing universal Bayesian methods for inductive inference and prediction."
R,1960,Man-Computer Symbiosis by J.C.R. Licklider.
R,1961,"In Minds, Machines and Gödel, John Lucas[33] denied the possibility of machine intelligence on logical or philosophical grounds. He referred to Kurt Gödel's result of 1931: sufficiently powerful formal systems are either inconsistent or allow for formulating true theorems unprovable by any theorem-proving AI deriving all provable theorems from the axioms. Since humans are able to ""see"" the truth of such theorems, machines were deemed inferior."
T,1961,"The first industrial robot, Unimate, starts working on an assembly line in a General Motors plant in New Jersey."
T,1961,"James Slagle develops SAINT(Symbolic Automatic INTegrator), a heuristic program that solved symbolic integration problems in freshman calculus."
T,1961,"James Slagle (PhD dissertation, MIT) wrote (in Lisp) the first symbolic integrationprogram, SAINT, which solved calculus problems at the college freshman level."
R,1963,"Thomas Evans' program, ANALOGY, written as part of his PhD work at MIT, demonstrated that computers can solve the same analogy problems as are given on IQtests."
R,1963,"Edward Feigenbaum and Julian Feldman published Computers and Thought, the first collection of articles about artificial intelligence."
R,1963,"Leonard Uhr and Charles Vossler published ""A Pattern Recognition Program That Generates, Evaluates, and Adjusts Its Own Operators"", which described one of the first machine learning programs that could adaptively acquire and modify features and thereby overcome the limitations of simple perceptrons of Rosenblatt"
R,1964,"Daniel Bobrow completes his MIT PhD dissertation titled “Natural Language Input for a Computer Problem Solving System” and develops STUDENT, a natural language understanding computer program."
R,1964,"Danny Bobrow's dissertation at MIT (technical report #1 from MIT's AI group, Project MAC), shows that computers can understand natural language well enough to solve algebra word problems correctly."
R,1964,Bertram Raphael's MIT dissertation on the SIR program demonstrates the power of a logical representation of knowledge for question-answering systems.
R,1965,"Edward Feigenbaum initiated Dendral, a ten-year effort to develop software to deduce the molecular structure of organic compounds using scientific instrument data. It was the first expert system."
P,1965,"Hubert Dreyfus publishes ""Alchemy and AI,"" arguing that the mind is not like a computer and that there were limits beyond which AI would not progress."
F,1965,"J. Alan Robinson invented a mechanical proof procedure, the Resolution Method, which allowed programs to work efficiently with formal logic as a representation language."
P,1965,"Herbert Simon predicts that ""machines will be capable, within twenty years, of doing any work a man can do."""
T,1965,"Edward Feigenbaum, Bruce G. Buchanan, Joshua Lederberg, and Carl Djerassi start working on DENDRAL at Stanford University. The first expert system, it automated the decision-making process and problem-solving behavior of organic chemists, with the general aim of studying hypothesis formation and constructing models of empirical induction in science."
T,1965,"Joseph Weizenbaum (MIT) built ELIZA, an interactive program that carries on a dialogue in English language on any topic. It was a popular toy at AI centers on the ARPANET when a version that ""simulated"" the dialogue of a psychotherapist was programmed."
P,1965,"I.J. Good writes in ""Speculations Concerning the First Ultraintelligent Machine"" that “the first ultraintelligent machine is the last invention that man need ever make, provided that the machine is docile enough to tell us how to keep it under control.”"
F,1966,"Ross Quillian (PhD dissertation, Carnegie Inst. of Technology, now CMU) demonstrated semantic nets."
R,1966,Negative report on machine translation kills much work in Natural language processing(NLP) for many years.
T,1966,"Shakey the robot is the first general-purpose mobile robot to be able to reason about its own actions. In a Life magazine 1970 article about this “first electronic person,” Marvin Minsky is quoted saying with “certitude”: “In from three to eight years we will have a machine with the general intelligence of an average human being.”"
R,1966,Machine Intelligence workshop at Edinburgh – the first of an influential annual series organized by Donald Michie and others.
R,1967,"Dendral program (Edward Feigenbaum, Joshua Lederberg, Bruce Buchanan, Georgia Sutherland at Stanford University) demonstrated to interpret mass spectra on organic chemical compounds. First successful knowledge-based program for scientific reasoning."
F,1968,"Wallace and Boulton's program, Snob (Comp.J. 11(2) 1968), for unsupervised classification (clustering) uses the Bayesian Minimum Message Length criterion, a mathematical realisation of Occam's razor."
R,1968,"McCarthy publishes ""Programs with common sense"", called ""the paper that started it all"""
T,1968,"Richard Greenblatt (programmer) at MIT built a knowledge-based chess-playing program, MacHack, that was good enough to achieve a class-C rating in tournament play."
R,1968,Joel Moses (PhD work at MIT) demonstrated the power of symbolic reasoning for integration problems in the Macsyma program. First successful knowledge-based program in mathematics.
T,1968,"Terry Winograd develops SHRDLU, an early natural language understanding computer program."
C,1968,"The film 2001: Space Odyssey is released, featuring Hal, a sentient computer."
R,1969,"Marvin Minsky and Seymour Papert publish Perceptrons: An Introduction to Computational Geometry, highlighting the limitations of simple neural networks.  In an expanded edition published in 1988, they responded to claims that their 1969 conclusions significantly reduced funding for neural network research: “Our version is that progress had already come to a virtual halt because of the lack of adequate basic theories… by the mid-1960s there had been a great many experiments with perceptrons, but no one had been able to explain why they were able to recognize certain kinds of patterns and not others.”"
R,1969,First International Joint Conference on Artificial Intelligence (IJCAI) held at Stanford.
F,1969,"Yorick Wilks (Stanford) developed the semantic coherence view of language called Preference Semantics, embodied in the first semantics-driven machine translation program, and the basis of many PhD dissertations since such as Bran Boguraev and David Carter at Cambridge."
F,1969,"Roger Schank (Stanford) defined conceptual dependency model for natural language understanding. Later developed (in PhD dissertations at Yale University) for use in story understanding by Robert Wilensky and Wendy Lehnert, and for use in understanding memory by Janet Kolodner."
R,1969,"McCarthy and Hayes started the discussion about the frame problem with their essay, ""Some Philosophical Problems from the Standpoint of Artificial Intelligence""."
R,1969,"Arthur Bryson and Yu-Chi Ho describe backpropagation as a multi-stage dynamic system optimization method. A learning algorithm for multi-layer artificial neural networks, it has contributed significantly to the success of deep learning in the 2000s and 2010s, once computing power has sufficiently advanced to accommodate the training of large networks."
T,1970,"Jaime Carbonell (Sr.) developed SCHOLAR, an interactive program for computer assisted instruction based on semantic nets as the representation of knowledge."
T,1970,"The first anthropomorphic robot, the WABOT-1, is built at Waseda University in Japan. It consisted of a limb-control system, a vision system and a conversation system."
R,1970," In a Life magazine 1970 article about Shakey, the “first electronic person,” Marvin Minsky is quoted saying with “certitude”: “In from three to eight years we will have a machine with the general intelligence of an average human being.”"
R,1970,Bill Woods described Augmented Transition Networks (ATN's) as a representation for natural language understanding.
T,1970,"Patrick Winston's PhD program, ARCH, at MIT learned concepts from examples in the world of children's blocks."
R,1970,Jane Robinson and Don Walker established an influential Natural Language Processing group at SRI.
F,1971,Work on the Boyer-Moore theorem prover started in Edinburgh.[35]
R,1971,"Terry Winograd's PhD thesis (MIT) demonstrated the ability of computers to understand English sentences in a restricted world of children's blocks, in a coupling of his language understanding program, SHRDLU, with a robot arm that carried out instructions typed in English."
T,1972,"Earl Sacerdoti developed one of the first hierarchical planning programs, ABSTRIPS."
F,1972,Prolog programming language developed by Alain Colmerauer.
T,1972,"MYCIN, an early expert system for identifying bacteria causing severe infections and recommending antibiotics, is developed at Stanford University."
R,1973,"James Lighthill reports to the British Science Research Council on the state artificial intelligence research, concluding that ""in no part of the field have discoveries made so far produced the major impact that was then promised,"" leading to drastically reduced government support for AI research."
T,1973,"The Assembly Robotics Group at University of Edinburgh builds Freddy Robot, capable of using visual perception to locate and assemble models. (See Edinburgh FreddyAssembly Robot: a versatile computer-controlled assembly system.)"
R,1973,The Lighthill report gives a largely negative verdict on AI research in Great Britain and forms the basis for the decision by the British government to discontinue support for AI research in all but two universities.
R,1974,"Ted Shortliffe's PhD dissertation on the MYCIN program (Stanford) demonstrated a very practical rule-based approach to medical diagnoses, even in the presence of uncertainty. While it borrowed from DENDRAL, its own contributions strongly influenced the future of expert system development, especially commercial systems."
F,1975,Austin Tate developed the Nonlin hierarchical planning system able to search a space of partial plans characterised as alternative approaches to the underlying goal structure of the plan.
P,1975,"Marvin Minsky published his widely read and influential article on Frames as a representation of knowledge, in which many ideas about schemas and semantic linksare brought together."
R,1975,"David Marr and MIT colleagues describe the ""primal sketch"" and its role in visual perception."
R,1975,The Meta-Dendral learning program produced new results in chemistry (some rules of mass spectrometry) the first scientific discoveries by a computer to be published in a refereed journal.
R,1975,"Barbara Grosz (SRI) established limits to traditional AI approaches to discourse modeling. Subsequent work by Grosz, Bonnie Webber and Candace Sidner developed the notion of ""centering"", used in establishing focus of discourse and anaphoric references in Natural language processing."
F,1975,"Earl Sacerdoti developed techniques of partial-order planning in his NOAH system, replacing the previous paradigm of search among state space descriptions. NOAH was applied at SRI International to interactively diagnose and repair electromechanical systems."
R,1976,Douglas Lenat's AM program (Stanford PhD dissertation) demonstrated the discovery model (loosely guided search for interesting conjectures).
R,1976,Randall Davis demonstrated the power of meta-level reasoning in his PhD dissertation at Stanford.
R,1976,"Computer scientist Raj Reddypublishes “Speech Recognition by Machine: A Review” in the Proceedings of the IEEE, summarizing the early work on Natural Language Processing (NLP)."
T,1978,"The MOLGEN program, written at Stanford by Mark Stefik and Peter Friedland, demonstrated that an object-oriented programming representation of knowledge can be used to plan gene-cloning experiments."
F,1978,"Tom Mitchell, at Stanford, invented the concept of Version spaces for describing the search space of a concept formation program."
F,1978,"Herbert A. Simon wins the Nobel Prize in Economics for his theory of bounded rationality, one of the cornerstones of AI known as ""satisficing""."
T,1978,"The XCON (eXpert CONfigurer) program, a rule-based expert system assisting in the ordering of DEC's VAX computers by automatically selecting the components based on the customer's requirements, is developed at Carnegie Mellon University."
T,1979,"The Stanford Cart, built by Hans Moravec, becomes the first computer-controlled, autonomous vehicle when it successfully traverses a chair-filled room and circumnavigates the Stanford AI Lab."
T,1979,"Cordell Green, David Barstow, Elaine Kant and others at Stanford demonstrated the CHI system for automatic programming."
F,1979,"Drew McDermott and Jon Doyle at MIT, and John McCarthy at Stanford begin publishing work on non-monotonic logics and formal aspects of truth maintenance."
T,1979,"BKG, a backgammon program written by Hans Berliner at CMU, defeats the reigning world champion (in part via luck)."
T,1979,"Jack Myers and Harry Pople at University of Pittsburgh developed INTERNIST, a knowledge-based medical diagnosis program based on Dr. Myers' clinical knowledge."
T,1979,"Bill VanMelle's PhD dissertation at Stanford demonstrated the generality of MYCIN's representation of knowledge and style of reasoning in his EMYCIN program, the model for many commercial expert system ""shells""."
T,1979,"Stanford's SUMEX-AIM resource, headed by Ed Feigenbaum and Joshua Lederberg, demonstrates the power of the ARPAnet for scientific collaboration."
T,1979,"The Stanford Cart successfully crosses a chair-filled room without human intervention in about five hours, becoming one of the earliest examples of an autonomous vehicle."
T,1980,First National Conference of the American Association for Artificial Intelligence (AAAI) held at Stanford.
T,1980,"Wabot-2 is built at Waseda University in Japan, a musician humanoid robot able to communicate with a person, read a musical score and play tunes of average difficulty on an electronic organ."
R,1980,"Terry Winograd publishes ""What Does It Mean to Understand Language?"" inroducing the Winograd Schema Challenge as an alternative to the Turing test for judging Artificial Intelilgences. "
T,1980,Lisp machines developed and marketed. First expert system shells and commercial applications.
F,1981,"The Japanese Ministry of International Trade and Industry budgets $850 million for the Fifth Generation Computer project. The project aimed to develop computers that could carry on conversations, translate languages, interpret pictures, and reason like human beings."
T,1981,"Danny Hillis designs the connection machine, which utilizes Parallel computing to bring new power to AI, and to computation in general. (Later founds Thinking Machines Corporation)"
T,1982,"The Fifth Generation Computer Systems project (FGCS), an initiative by Japan's Ministry of International Trade and Industry, begun in 1982, to create a ""fifth generation computer"" (see history of computing hardware) which was supposed to perform much calculation utilizing massive parallelism."
F,1983,"James F. Allen invents the Interval Calculus, the first widely used formalization of temporal events."
R,1983,"John Laird and Paul Rosenbloom, working with Allen Newell, complete CMU dissertations on Soar (program)."
R,1984,"At the annual meeting of AAAI, Roger Schank and Marvin Minsky warn of the coming “AI Winter,” predicting an immanent bursting of the AI bubble (which did happen three years later), similar to the reduction in AI investment and research funding in the mid-1970s."
C,1984,"Electric Dreams is released, a film about a love triangle between a man, a woman and a personal computer."
T,1985,"The autonomous drawing program, AARON, created by Harold Cohen, is demonstrated at the AAAI National Conference (based on more than a decade of work, and with subsequent work showing major developments)."
F,1985,Neural Networks become widely used with the Backpropagation algorithm (first described by Paul Werbos in 1974).
T,1986,"The team of Ernst Dickmanns at Bundeswehr University of Munich builds the first robot cars, driving up to 55 mph on empty streets."
T,1986,"First driverless car, a Mercedes-Benz van equipped with cameras and sensors, built at Bundeswehr University in Munich under the direction of Ernst Dickmanns, drives up to 55 mph on empty streets."
R,1986,"David Rumelhart, Geoffrey Hinton, and Ronald Williams publish ”Learning representations by back-propagating errors,” in which they describe “a new learning procedure, back-propagation, for networks of neurone-like units.”"
F,1986,"Barbara Grosz and Candace Sidner create the first computation model of discourse, establishing the field of research.[36]"
T,1987,"Commercial launch of generation 2.0 of Alacrity by Alacritous Inc./Allstar Advice Inc. Toronto, the first commercial strategic and managerial advisory system. The system was based upon a forward-chaining, self-developed expert system with 3,000 rules about the evolution of markets and competitive strategies and co-authored by Alistair Davidson and Mary Chung, founders of the firm with the underlying engine developed by Paul Tarvydas. The Alacrity system also included a small financial expert system that interpreted financial statements and models."
R,1987,"Rodney Brooks publishes ""Intelligence without representation"", outlining an approach to building artificially intellegent creatures"
R,1987,Rodney Brooks introduced the subsumption architecture and behavior-based robotics as a more minimalist modular model of natural intelligence; Nouvelle AI.
T,1987,"The video Knowledge Navigator, accompanying Apple CEO John Sculley’s keynote speech at Educom, envisions a future in which “knowledge applications would be accessed by smart agents working over networks connected to massive amounts of digitized information.”"
P,1987,"Marvin Minsky published The Society of Mind, a theoretical description of the mind as a collection of cooperating agents. He had been lecturing on the idea for years before the book came out (c.f. Doyle 1983)."
T,1988,"Rollo Carpenter develops the chat-bot Jabberwacky to ""simulate natural human chat in an interesting, entertaining and humorous manner."" It is an early attempt at creating artificial intelligence through human interaction."
R,1988,"Judea Pearl publishes Probabilistic Reasoning in Intelligent Systems. His 2011 Turing Award citation reads: “Judea Pearl created the representational and computational foundation for the processing of information under uncertainty. This work not only revolutionized the field of artificial intelligence but also became an important tool for many other branches of engineering and the natural sciences.”"
R,1988,"Members of the IBM T.J. Watson Research Center publish “A statistical approach to language translation,” heralding the shift from rule-based to probabilistic methods of machine translation, and reflecting a broader shift to “machine learning” based on statistical analysis of known examples, not comprehension and “understanding” of the task at hand."
R,1988,Marvin Minsky and Seymour Papert publish an expanded edition of their 1969 book Perceptrons. In “Prologue: A View from 1988” they wrote: “One reason why progress has been so slow in this field is that researchers unfamiliar with its history have continued to make many of the same mistakes that others have made before them.”
T,1989,"Yann LeCun and other researchers at AT&T Bell Labs successfully apply a backpropagation algorithm to a multi-layer neural network, recognizing handwritten ZIP codes. Given the hardware limitations at the time, it took about 3 days (still a significant improvement over earlier efforts) to train the network."
T,1989,Dean Pomerleau at CMU creates ALVINN (An Autonomous Land Vehicle in a Neural Network).
R,1990,"Rodney Brooks publishes “Elephants Don’t Play Chess,” proposing a new approach to AI—building intelligent systems, specifically robots, from the ground up and on the basis of ongoing physical interaction with the environment: “The world is its own best model… The trick is to sense it appropriately and often enough.”"
T,1991,DART scheduling application deployed in the first Gulf War paid back DARPA'sinvestment of 30 years in AI research.
T,1991,"TD-Gammon, a backgammon program written by Gerry Tesauro, demonstrates that reinforcement (learning) is powerful enough to create a championship-level game-playing program by competing favorably with world-class players."
R,1993,"Vernor Vinge publishes “The Coming Technological Singularity,” in which he predicts that “within thirty years, we will have the technological means to create superhuman intelligence. Shortly after, the human era will be ended.”"
R,1993,"Rodney Brooks, Lynn Andrea Stein and Cynthia Breazeal started the widely publicized MIT Cog project with numerous collaborators, in an attempt to build a humanoid robotchild in just five years."
R,1993,"ISX corporation wins ""DARPA contractor of the year"" for the Dynamic Analysis and Replanning Tool (DART) which reportedly repaid the US government's entire investment in AI research since the 1950s."
T,1993,"Ian Horswill extended behavior-based robotics by creating Polly, the first robot to navigate using vision and operate at animal-like speeds (1 meter/second)."
T,1994,"With passengers on board, the twin robot cars VaMP and VITA-2 of Ernst Dickmannsand Daimler-Benz drive more than one thousand kilometers on a Paris three-lane highway in standard heavy traffic at speeds up to 130 km/h. They demonstrate autonomous driving in free lanes, convoy driving, and lane changes left and right with autonomous passing of other cars."
T,1994,"English draughts (checkers) world champion Tinsley resigned a match against computer program Chinook. Chinook defeated 2nd highest rated player, Lafferty. Chinook won the USA National Tournament by the widest margin ever."
T,1995,"""No Hands Across America"": A semi-autonomous car drove coast-to-coast across the United States with computer-controlled steering for 2,797 miles (4,501 km) of the 2,849 miles (4,585 km). Throttle and brakes were controlled by a human driver."
T,1995,"Richard Wallace develops the chatbot A.L.I.C.E (Artificial Linguistic Internet Computer Entity), inspired by Joseph Weizenbaum's ELIZA program, but with the addition of natural language sample data collection on an unprecedented scale, enabled by the advent of the Web."
T,1995,"One of Ernst Dickmanns' robot cars (with robot-controlled throttle and brakes) drove more than 1000 miles from Munich to Copenhagen and back, in traffic, at up to 120 mph, occasionally executing maneuvers to pass other cars (only in a few critical situations a safety driver took over). Active vision was used to deal with rapidly changing street scenes."
R,1997,"Sepp Hochreiter and Jürgen Schmidhuber propose Long Short-Term Memory (LSTM), a type of a recurrent neural network used today in handwriting recognition and speech recognition."
T,1997,"The Deep Blue chess machine (IBM) defeats the (then) world chess champion, Garry Kasparov."
T,1997,First official RoboCup football (soccer) match featuring table-top matches with 40 teams of interacting robots and over 5000 spectators.
T,1997,Deep Blue becomes the first computer chess-playing program to beat a reigning world chess champion.
T,1997,Computer Othello program Logistello defeated the world champion Takeshi Murakami with a score of 6–0.
F,1998,"Yann LeCun, Yoshua Bengio and others publish papers on the application of neural networks to handwriting recognition and on optimizing backpropagation."
T,1998,"Dave Hampton and Caleb Chung create Furby, the first domestic or pet robot."
R,1998,Tim Berners-Lee published his Semantic Web Road map paper.
F,1998,"Leslie P. Kaelbling, Michael Littman, and Anthony Cassandra introduce the first method for solving POMDPs offline, jumpstarting widespread use in robotics and automated planning and scheduling"
T,1998,"Tiger Electronics' Furby is released, and becomes the first successful attempt at producing a type of A.I to reach a domestic environment."
T,1999,Web crawlers and other AI-based information extraction programs become essential in widespread use of the World Wide Web.
T,1999,Demonstration of an Intelligent room and Emotional Agents at MIT's AI Lab.
F,1999,"Initiation of work on the Oxygen architecture, which connects mobile and stationary computers in an adaptive network."
T,1999,"Sony introduces an improved domestic robot similar to a Furby, the AIBO becomes one of the first artificially intelligent ""pets"" that is also autonomous."
